gene,p_value,high_median_survival,low_median_survival
HEXIM1,6.839586882439089e-05,84.0,54.0
RAD54L,0.00040078882682783684,54.0,72.0
PCDHB11,0.0004453262468659761,72.0,54.0
SGK223,0.0006405518059460533,72.0,54.0
CHEK1,0.0006560311486891645,54.0,84.0
ATP1B2,0.0009338340479595349,72.0,54.0
LOC493754,0.0010503227651268605,72.0,54.0
PHYHD1,0.0010594397321317343,72.0,54.0
RNASE1,0.0010594397321317343,84.0,54.0
JMJD7-PLA2G4B,0.0010594397321317343,72.0,54.0
NIPA1,0.0010816910452061354,72.0,54.0
KCNJ18,0.0011775387576796238,54.0,72.0
PCDHB9,0.001256928745084876,72.0,54.0
PI16,0.001256928745084876,84.0,54.0
TM7SF3,0.0012655071042479169,72.0,54.0
SMARCC2,0.001410444398333018,72.0,54.0
HGSNAT,0.0014245505012008238,84.0,54.0
SGCE,0.0014836839736814497,72.0,54.0
GPX3,0.0016783200934442327,84.0,54.0
OSR1,0.0016783200934442327,72.0,54.0
ERICH1,0.0017603618878888785,78.0,54.0
LOC92249,0.0017624155910105764,72.0,54.0
GLTP,0.001762853256337683,72.0,54.0
MCM6,0.0018084751575384037,54.0,78.0
C9orf140,0.0018905877614735131,54.0,78.0
OIP5,0.0018905877614735131,54.0,84.0
CDT1,0.0018905877614735131,54.0,72.0
TMSL3,0.0018918194134800114,84.0,54.0
MSRA,0.0018918194134800114,72.0,54.0
SND1,0.0018982316974229722,54.0,78.0
PTPLAD2,0.0020033333360123464,72.0,54.0
PLK1,0.002128488796198247,54.0,78.0
CDC20,0.002128488796198247,54.0,72.0
ORC1,0.002128488796198247,54.0,78.0
FOLH1,0.002128488796198247,54.0,72.0
RBMS2,0.0022142965962845913,84.0,54.0
SLC27A2,0.002354121435661968,63.0,84.0
SKA3,0.0024931708294186517,54.0,72.0
DIAPH3,0.0024931708294186517,54.0,72.0
RRM2,0.0024931708294186517,54.0,78.0
C12orf48,0.0024931708294186517,54.0,78.0
ARHGAP11A,0.0024931708294186517,54.0,84.0
CKAP2L,0.0024931708294186517,54.0,78.0
ERO1L,0.0024931708294186517,54.0,84.0
ETFDH,0.0025289389300132584,72.0,63.0
LRRFIP2,0.0025801644183728995,72.0,54.0
MTHFD2,0.0025914113856659797,54.0,84.0
CNTFR,0.002614201081476486,72.0,54.0
E2F8,0.0026296654791458035,54.0,84.0
ANGEL1,0.0026296654791458035,54.0,72.0
CDC6,0.0026296654791458035,54.0,78.0
LIPT1,0.0027955181395131054,72.0,63.0
NDC80,0.002907050648379027,54.0,78.0
XPO7,0.002995470853248016,72.0,63.0
PCDHB16,0.0030392971713545094,72.0,54.0
TK1,0.00307100029532038,54.0,72.0
ECD,0.0033292778838111704,72.0,63.0
CCNE1,0.0035704505166399354,54.0,78.0
EIF2S1,0.0035942954198530394,54.0,84.0
CDCA5,0.0036336843378988026,63.0,72.0
SFTPB,0.0036775458729016927,72.0,63.0
C5orf28,0.003700629149574231,84.0,63.0
UBXN8,0.003925213091471086,72.0,63.0
ATAD3C,0.004041344669491017,72.0,63.0
C1orf101,0.004091910274222696,72.0,63.0
SLC26A9,0.004091910274222696,72.0,63.0
IRX2,0.004137080166061045,72.0,63.0
CLSPN,0.004214213970432591,63.0,72.0
KIAA1377,0.004495148061451236,72.0,63.0
AHSA1,0.004535466790023981,72.0,72.0
PRDX4,0.004604515048427349,54.0,84.0
PPL,0.0047499445414721534,72.0,63.0
PCDHB15,0.0047499445414721534,72.0,63.0
ABCA11P,0.0047991906098130786,72.0,63.0
LITAF,0.004821350806132357,72.0,63.0
ANKRD40,0.004970642884197467,72.0,63.0
PTPDC1,0.005022008198504018,72.0,63.0
SUSD2,0.005022008198504018,72.0,63.0
EPB41L4A,0.005211280247573444,84.0,63.0
TMEM130,0.005211280247573444,84.0,63.0
EVPLL,0.005251097567018786,72.0,63.0
NTS,0.005293681896053195,72.0,63.0
TMEM43,0.005293681896053195,72.0,63.0
CATSPER2,0.005348102831682888,72.0,63.0
HTATSF1,0.005448233739485645,72.0,63.0
LFNG,0.005494129407031315,72.0,63.0
WDR13,0.005557431444627483,72.0,63.0
PLA2G10,0.005593425941736169,72.0,63.0
FAM149B1,0.005593425941736169,72.0,63.0
ACBD4,0.005593425941736169,72.0,63.0
DSCC1,0.005688776610447945,63.0,72.0
TM4SF1,0.005801229453353059,84.0,63.0
ICAM4,0.005811420331385246,84.0,63.0
PLXNB2,0.005811420331385246,72.0,63.0
SIN3A,0.005811420331385246,72.0,63.0
RGN,0.005811420331385246,72.0,63.0
POGZ,0.00586021664145448,84.0,63.0
ASAH1,0.00586021664145448,84.0,63.0
MICB,0.005911368794620951,72.0,72.0
SLC25A14,0.006078070830806257,72.0,63.0
PACSIN2,0.0061233173500426985,72.0,63.0
NR1H3,0.0061920060416197666,72.0,72.0
PHF15,0.006384413165201726,72.0,63.0
CCND3,0.006461241130677343,72.0,63.0
THOP1,0.006468430551462842,72.0,84.0
IDS,0.006696973823057822,72.0,63.0
HSPB3,0.0067370003338396,72.0,54.0
PCDHB7,0.006765429275874894,72.0,63.0
DCTN1,0.006804226606903789,72.0,63.0
ADAM9,0.0068571760158637465,84.0,63.0
PLA2G4B,0.007064427762661672,72.0,63.0
WNT5A,0.007064427762661672,72.0,63.0
LOC653113,0.007116772807766246,72.0,63.0
KCNJ2,0.007123893836126766,72.0,72.0
BNIPL,0.007163119563759769,72.0,63.0
BAHD1,0.007163119563759769,72.0,63.0
C19orf48,0.007183151765863973,72.0,72.0
FAM64A,0.007183151765863973,72.0,72.0
PKMYT1,0.007183151765863973,72.0,78.0
GINS2,0.007183151765863973,72.0,72.0
PEBP1,0.007433129078858101,72.0,63.0
F8,0.007433129078858101,72.0,63.0
DES,0.007433129078858101,84.0,63.0
FBP1,0.007477274069187659,72.0,63.0
TNFRSF10B,0.0075084310483716854,72.0,63.0
PHLDA3,0.0075084310483716854,72.0,63.0
SLC9A3R2,0.007778604515554397,84.0,63.0
PSMB5,0.007829742134345308,72.0,72.0
YPEL5,0.007836259449056112,72.0,63.0
CAV2,0.007836259449056112,84.0,63.0
SLC48A1,0.007836259449056112,72.0,63.0
TRIP13,0.00788900288593079,72.0,78.0
C14orf142,0.00788900288593079,72.0,78.0
MELK,0.007954288629828218,72.0,72.0
MMP28,0.008227038465395955,72.0,63.0
ZHX1-C8ORF76,0.008265836779310544,72.0,72.0
BUB1B,0.008265836779310544,72.0,78.0
MYBL2,0.008265836779310544,72.0,72.0
CCNB2,0.008265836779310544,72.0,78.0
BUB1,0.008265836779310544,72.0,72.0
C8orf76,0.008265836779310544,72.0,72.0
MKI67,0.008265836779310544,72.0,78.0
FLVCR1,0.008295156579990214,72.0,84.0
NOL7,0.0083202857247961,72.0,72.0
LOC100129480,0.008582302779067802,72.0,63.0
PPP1R3G,0.00860334793888199,72.0,84.0
C2orf79,0.008668186232598522,72.0,63.0
RANGAP1,0.008675391580692839,72.0,72.0
KPNA2,0.008675391580692839,72.0,72.0
LOC730101,0.008712637890025967,72.0,84.0
SLC1A4,0.008784372731704534,72.0,72.0
TBX4,0.008988733702333485,72.0,63.0
UQCRFS1,0.008999227302604652,72.0,84.0
BTN2A3,0.009047647206768983,72.0,72.0
SSB,0.009047647206768983,72.0,78.0
SLC12A7,0.009063647462969901,72.0,63.0
SPC24,0.0091377960265318,72.0,78.0
CDC45,0.0091377960265318,72.0,72.0
CENPI,0.0091377960265318,72.0,72.0
KIF2C,0.0091377960265318,72.0,72.0
ASF1B,0.0091377960265318,72.0,72.0
AURKB,0.0091377960265318,72.0,72.0
TTK,0.0091377960265318,72.0,78.0
EPR1,0.0091377960265318,72.0,72.0
CDCA8,0.0091377960265318,72.0,72.0
DLGAP5,0.0091377960265318,72.0,78.0
NCAPH,0.0091377960265318,72.0,72.0
MCM2,0.0091377960265318,72.0,72.0
KIFC1,0.0091377960265318,72.0,78.0
BIRC5,0.0091377960265318,72.0,72.0
EXO1,0.0091377960265318,72.0,72.0
GTSE1,0.0091377960265318,72.0,72.0
TPX2,0.0091377960265318,72.0,72.0
NEK2,0.0091377960265318,72.0,72.0
TMEM52,0.009178766076083375,72.0,72.0
RAMP2,0.009412600122445247,72.0,63.0
DNAJB1,0.009446587274750977,72.0,63.0
KIF11,0.009473915657397448,72.0,78.0
POLE2,0.009585935344339632,72.0,72.0
HSD17B13,0.009926795273893823,72.0,63.0
PIR-FIGF,0.009926795273893823,72.0,63.0
VARS,0.00995392737227447,72.0,78.0
PCNA-AS1,0.00995392737227447,72.0,72.0
WDR76,0.01007499797544506,72.0,72.0
KIAA1310,0.010373768227268043,72.0,63.0
KIAA1524,0.010456266873688893,72.0,72.0
LMNB1,0.010456266873688893,72.0,72.0
ASPM,0.010456266873688893,72.0,78.0
C13orf27,0.010542671163869649,72.0,78.0
MB,0.010542671163869649,72.0,78.0
AP2A1,0.010542671163869649,72.0,72.0
SFXN2,0.010740523660396703,72.0,72.0
HSP90B1,0.010980289204363137,72.0,72.0
WDHD1,0.010980289204363137,72.0,78.0
YIF1A,0.010980289204363137,72.0,72.0
CENPK,0.010980289204363137,72.0,78.0
ORC6,0.010980289204363137,72.0,84.0
TOP2A,0.010980289204363137,72.0,72.0
PNPLA4,0.01125533116915782,72.0,63.0
ITGA3,0.011259536619979403,72.0,72.0
GPR146,0.011325416845674594,72.0,63.0
IL11RA,0.011325416845674594,72.0,63.0
TSPAN7,0.011325416845674594,72.0,63.0
KCNJ12,0.01151057875653923,72.0,72.0
SPAG4,0.01151057875653923,72.0,78.0
CHAF1A,0.011553064796451008,72.0,72.0
ZNF75D,0.011672998548210687,72.0,72.0
RORC,0.011736822556531195,72.0,72.0
KIAA1683,0.011828804139608384,72.0,63.0
FOXF2,0.011828804139608384,72.0,63.0
NDUFS1,0.011918389712158835,72.0,72.0
ATP13A3,0.011920287881904407,72.0,72.0
TBC1D7,0.012037460494154916,72.0,72.0
SLC27A3,0.012313363053884963,72.0,63.0
PPIL1,0.012529311814701592,72.0,72.0
KIF20A,0.012529311814701592,72.0,72.0
C1orf216,0.012529311814701592,72.0,72.0
HAUS6,0.012529311814701592,72.0,72.0
MIS18A,0.012529311814701592,72.0,72.0
GSG2,0.012529311814701592,72.0,84.0
E2F2,0.012529311814701592,72.0,72.0
CCDC25,0.01289266566231758,72.0,72.0
ZNF2,0.012944515445627209,72.0,72.0
SMAD6,0.013020986002086355,72.0,63.0
GALNT2,0.013102254071192705,72.0,72.0
PIF1,0.013172715238841639,72.0,72.0
CNIH,0.013229870995684168,72.0,72.0
PTGES,0.013229870995684168,72.0,72.0
CLP1,0.013229870995684168,72.0,72.0
WDR44,0.013429831413768452,72.0,72.0
FUNDC1,0.013429831413768452,72.0,72.0
VKORC1L1,0.013546303279915382,72.0,72.0
TMEM218,0.013604405130568334,72.0,72.0
HM13,0.013764129699281586,72.0,72.0
CALU,0.013764129699281586,72.0,72.0
RHOBTB2,0.014023573528719262,72.0,72.0
RAB38,0.014047356915426258,72.0,72.0
PPP2R3A,0.01409134844143033,72.0,72.0
BRF2,0.014111318213853703,72.0,72.0
NPHP3,0.014114353140899651,84.0,72.0
TRIM35,0.014201684684489478,72.0,72.0
ARF3,0.014201684684489478,72.0,72.0
CPNE8,0.014201684684489478,72.0,72.0
PCYOX1L,0.014314405554822496,72.0,72.0
CENPF,0.0144627241276574,72.0,72.0
RNASEH2A,0.0144627241276574,72.0,72.0
GSN,0.014771812770680124,72.0,63.0
ARL8B,0.014785790768357468,72.0,72.0
FHOD1,0.014785790768357468,72.0,72.0
DNAJC21,0.014785790768357468,72.0,72.0
C8orf41,0.014902873773859621,72.0,72.0
MTUS1,0.014902873773859621,72.0,72.0
TACSTD2,0.015435994304762607,72.0,72.0
TIPIN,0.015531469112874943,72.0,72.0
LOC553103,0.0155519433689549,72.0,72.0
UGGT2,0.015553906994778495,72.0,72.0
LIN52,0.015624899491460117,72.0,72.0
SPIN2B,0.01597464915882311,72.0,72.0
LOC650623,0.016070751943773404,72.0,72.0
SSBP2,0.016070751943773404,72.0,72.0
C9orf156,0.016157327605817593,72.0,72.0
ZNF774,0.016157327605817593,72.0,72.0
SNX21,0.016170710222283575,72.0,72.0
SMURF1,0.016170710222283575,72.0,72.0
NFIX,0.01617808274342284,72.0,72.0
GIPC1,0.016237315385140918,72.0,72.0
LOC644246,0.016237315385140918,72.0,72.0
CENPM,0.016293240967819415,72.0,78.0
PPP4R2,0.01629423885020094,72.0,78.0
CNOT7,0.01632247907594228,72.0,72.0
C2orf76,0.01632247907594228,72.0,72.0
DCTN6,0.01632247907594228,72.0,72.0
GARS,0.016539134741011343,72.0,72.0
ARHGEF9,0.01671023964147383,72.0,72.0
RAB36,0.016721433146802276,72.0,72.0
ELANE,0.016721433146802276,78.0,72.0
CLIC2,0.016824520171504678,72.0,72.0
SCO1,0.016928950492636177,72.0,78.0
PRRT2,0.016981822072656673,72.0,72.0
SELENBP1,0.016981822072656673,72.0,72.0
PHF17,0.016981822072656673,72.0,72.0
JMJD7,0.016981822072656673,72.0,72.0
PPOX,0.016981822072656673,72.0,72.0
CENPT,0.017056346706099026,72.0,72.0
CLIP4,0.01710201280296256,72.0,72.0
NUCKS1,0.017408574796244386,72.0,72.0
GSTM2,0.017571235806925985,72.0,72.0
PPP2CB,0.017652137385113596,72.0,72.0
NFYC,0.01765679883160061,72.0,72.0
LRRC18,0.017710591166095357,72.0,72.0
SFTA2,0.017737867772376865,84.0,72.0
ALPP,0.017737867772376865,72.0,72.0
KCTD2,0.017737867772376865,72.0,72.0
FADS2,0.017845217353954588,72.0,72.0
CDK20,0.0179027798705432,72.0,72.0
PPIL6,0.018411300072084514,72.0,72.0
RAB40C,0.018411300072084514,72.0,72.0
VAMP8,0.01844594067085948,72.0,72.0
TMEM163,0.01844594067085948,72.0,72.0
CDC34,0.018538328865368037,72.0,72.0
ERLIN2,0.01854221007453708,72.0,72.0
LRTOMT,0.01861677275522936,72.0,72.0
C6orf70,0.01861677275522936,72.0,72.0
C3orf62,0.01861677275522936,72.0,72.0
THOC4,0.01865787690008459,72.0,78.0
CENPN,0.01865787690008459,72.0,78.0
SOX13,0.018961186819253652,72.0,72.0
WWC3,0.01902179447060706,72.0,72.0
C4orf10,0.019138177933579397,72.0,72.0
RAET1G,0.019225644960757106,72.0,72.0
GLIPR1L2,0.019278369980191862,72.0,72.0
RHOA,0.019278369980191862,72.0,72.0
UVRAG,0.019278369980191862,72.0,72.0
CCNI,0.019278369980191862,72.0,72.0
SUCNR1,0.019278369980191862,72.0,72.0
C8orf46,0.019278369980191862,72.0,72.0
TUSC2,0.019278369980191862,72.0,72.0
RPL23AP53,0.019278369980191862,72.0,72.0
PRX,0.019278369980191862,72.0,72.0
CLEC9A,0.019278369980191862,72.0,72.0
LOC91316,0.019278369980191862,72.0,72.0
HOMER2,0.019347427049759586,72.0,72.0
PPP2R2A,0.019430255598349988,72.0,72.0
ESPL1,0.019690933946235,72.0,78.0
LOC339524,0.019908782417303237,72.0,72.0
ITGA10,0.0199968372711509,72.0,72.0
DNAJC19,0.020031609756166392,72.0,72.0
GRAMD4,0.020189023944630614,72.0,72.0
CDKL3,0.020189023944630614,72.0,72.0
CYC1,0.020229369812845906,72.0,72.0
GPR172A,0.020229369812845906,72.0,72.0
CYP27B1,0.020229369812845906,72.0,72.0
ASH2L,0.020304303520003036,72.0,72.0
LOC220906,0.02036071937144833,72.0,72.0
PRR11,0.020374597103904404,72.0,72.0
ITGB1BP2,0.020838833166194715,72.0,72.0
SPATA6,0.020875130694265838,72.0,72.0
PENK,0.020875130694265838,72.0,72.0
WBP5,0.020875130694265838,72.0,72.0
C1QTNF7,0.020875130694265838,72.0,72.0
EPB41L1,0.020875130694265838,72.0,72.0
HELLS,0.020911490260470112,72.0,78.0
R3HDM1,0.020911490260470112,72.0,78.0
WNT11,0.02097450566884368,72.0,72.0
KIF9,0.020988293014212605,72.0,72.0
BAZ2A,0.020988293014212605,72.0,72.0
IL17RC,0.020988293014212605,72.0,72.0
DNAJC17,0.021100082767626396,72.0,72.0
FAM174B,0.021100082767626396,72.0,72.0
EZH1,0.021100082767626396,84.0,72.0
RAB11A,0.021100082767626396,72.0,72.0
CAPN3,0.021100082767626396,72.0,72.0
AMN1,0.021100082767626396,72.0,72.0
ANXA11,0.021100082767626396,84.0,72.0
CLPB,0.02112304383731727,72.0,72.0
GRINA,0.02117939795654313,72.0,72.0
PCK2,0.02117939795654313,72.0,72.0
PYCR1,0.02117939795654313,72.0,72.0
PTTG1,0.02117939795654313,72.0,72.0
HOXD8,0.02135725229413789,72.0,72.0
ARAF,0.021674194468254197,72.0,72.0
DNM3,0.021807471195121646,72.0,72.0
PALMD,0.021807471195121646,72.0,72.0
METTL20,0.021807471195121646,72.0,72.0
RAPGEF3,0.021807471195121646,84.0,72.0
NCRNA00174,0.021807471195121646,72.0,72.0
CASQ2,0.021807471195121646,72.0,72.0
ISCU,0.021807471195121646,72.0,72.0
BBS1,0.021807471195121646,72.0,72.0
KIAA1967,0.021867159272493317,72.0,72.0
CHP,0.021914027934425383,72.0,72.0
NFKBIA,0.021914027934425383,72.0,72.0
EPDR1,0.022007981484242788,72.0,72.0
LOC25845,0.022007981484242788,72.0,72.0
COG7,0.022007981484242788,84.0,72.0
FOXJ2,0.022007981484242788,72.0,72.0
SELT,0.022085096699174075,72.0,72.0
STIP1,0.022127828126690157,72.0,78.0
KBTBD10,0.02218030126007062,72.0,72.0
MYL12B,0.022645248600741682,72.0,72.0
LOC100131434,0.02285263832591748,72.0,72.0
ID4,0.02285263832591748,72.0,72.0
CHMP6,0.02285263832591748,72.0,72.0
TLE3,0.02285263832591748,72.0,72.0
PAQR5,0.02285263832591748,72.0,72.0
C15orf52,0.02285263832591748,84.0,72.0
DEXI,0.022932121215914633,72.0,72.0
AK1,0.023040395629576858,72.0,72.0
SFTA1P,0.023040395629576858,72.0,72.0
IVD,0.023040395629576858,72.0,72.0
UBE2S,0.02315476554503989,72.0,72.0
MCM4,0.02315476554503989,72.0,72.0
PGK1,0.02315476554503989,72.0,72.0
MIA3,0.023392043782762943,72.0,72.0
LTBP3,0.02358510334225182,84.0,72.0
CYP4F24P,0.02358510334225182,72.0,72.0
KCNS3,0.02358510334225182,72.0,72.0
PCDHB6,0.02377040494494921,72.0,72.0
MINPP1,0.023830595678335828,72.0,72.0
CASP12,0.023830595678335828,84.0,72.0
EMCN,0.023830595678335828,72.0,72.0
AGER,0.023830595678335828,84.0,72.0
LRRC4B,0.023830595678335828,72.0,72.0
DNASE1L3,0.023830595678335828,72.0,72.0
FAM189A2,0.023830595678335828,84.0,72.0
MAOB,0.023830595678335828,72.0,72.0
MYOZ1,0.023830595678335828,72.0,72.0
FOXQ1,0.023830595678335828,72.0,72.0
LOC100499405,0.023830595678335828,72.0,72.0
FBXW4,0.02391812671093441,84.0,72.0
LOC728190,0.02391812671093441,72.0,72.0
PRC1,0.023954487381014435,72.0,78.0
IFI27,0.023954487381014435,72.0,72.0
ZBTB4,0.02404753127810286,72.0,72.0
MYST4,0.02404753127810286,72.0,72.0
RNF13,0.02404753127810286,72.0,72.0
ITM2C,0.024148788794645156,72.0,72.0
HIRA,0.024151888203197792,72.0,72.0
WDPCP,0.0243783214018169,72.0,72.0
MFSD7,0.02473434778879143,72.0,72.0
GLOD5,0.02473434778879143,72.0,72.0
TMSB4X,0.02473434778879143,84.0,72.0
GPR44,0.02473434778879143,72.0,72.0
PTGER1,0.02473434778879143,84.0,72.0
C10orf72,0.02484049084750011,72.0,72.0
PCM1,0.02484049084750011,72.0,72.0
PCDHB10,0.02484049084750011,72.0,72.0
EPB49,0.02484049084750011,72.0,72.0
ATP1A2,0.02484049084750011,72.0,72.0
VLDLR,0.02484049084750011,72.0,72.0
C21orf2,0.02484049084750011,72.0,72.0
ANKRD6,0.024958609082182323,72.0,72.0
CHADL,0.024958609082182323,72.0,72.0
EPHA2,0.024958609082182323,72.0,72.0
MLST8,0.024958609082182323,72.0,72.0
LOC644714,0.024958609082182323,72.0,72.0
MFAP3L,0.02497188812999601,72.0,72.0
FANCA,0.025015192599778482,72.0,72.0
CLMN,0.025062850749854582,72.0,72.0
TPRKB,0.025062850749854582,72.0,72.0
SEC23A,0.025062850749854582,72.0,72.0
SRF,0.025167177204089567,72.0,72.0
RNF41,0.02577768354653894,72.0,72.0
TENC1,0.02577768354653894,72.0,72.0
RIC3,0.02577768354653894,72.0,72.0
VSIG2,0.02577768354653894,72.0,72.0
IFT172,0.02577768354653894,72.0,72.0
TOMM40,0.025842666177715835,72.0,72.0
FOSB,0.02588958936613198,72.0,72.0
ZFP36,0.02588958936613198,72.0,72.0
CALB2,0.02588958936613198,72.0,72.0
KCTD1,0.02597873093376019,72.0,72.0
JMJD8,0.02597873093376019,72.0,72.0
NFE2L1,0.02597873093376019,72.0,72.0
LOC100507217,0.025982359711551415,72.0,72.0
ABLIM3,0.025982359711551415,72.0,72.0
GSTT1,0.02605745519691209,72.0,72.0
WDYHV1,0.026146606121840207,72.0,72.0
PBK,0.026146606121840207,72.0,78.0
GGH,0.026146606121840207,72.0,78.0
OLA1,0.026146606121840207,72.0,72.0
PRELID1,0.026146606121840207,72.0,84.0
MRPS12,0.026146606121840207,72.0,84.0
BLM,0.026146606121840207,72.0,72.0
TRAPPC9,0.026146606121840207,72.0,72.0
NUSAP1,0.026146606121840207,72.0,78.0
LMNB2,0.026146606121840207,72.0,72.0
RACGAP1,0.026146606121840207,72.0,72.0
PDK1,0.026146606121840207,72.0,72.0
UBE2T,0.026146606121840207,72.0,78.0
UBE2C,0.026146606121840207,72.0,72.0
CEP55,0.026146606121840207,72.0,72.0
SH2D4A,0.026735238291670765,72.0,72.0
ARHGEF15,0.026824279784557793,72.0,72.0
USHBP1,0.026824279784557793,72.0,72.0
POU6F1,0.026824279784557793,72.0,72.0
FGF14,0.026824279784557793,72.0,72.0
FXYD1,0.026824279784557793,72.0,72.0
LHFP,0.026824279784557793,72.0,72.0
LOC144571,0.026824279784557793,72.0,72.0
AVPR2,0.026824279784557793,72.0,72.0
TMEM91,0.026943171635619764,72.0,72.0
C7orf42,0.026943171635619764,84.0,72.0
ALKBH3,0.026943171635619764,72.0,72.0
IDH2,0.02699956334326691,72.0,72.0
MYRIP,0.027100091512905038,72.0,72.0
HRCT1,0.027100091512905038,72.0,72.0
OBSCN,0.027100091512905038,84.0,72.0
IGF2BP3,0.027115678020354778,72.0,72.0
BPHL,0.027115678020354778,72.0,72.0
VRK1,0.027115678020354778,72.0,72.0
RUVBL2,0.027115678020354778,72.0,78.0
APOBEC3B,0.027209392727313087,72.0,72.0
ZNF641,0.027746911182676352,72.0,72.0
LAYN,0.027944061549288975,72.0,72.0
LOC100129961,0.027944061549288975,72.0,72.0
SMOC1,0.02808769187838614,72.0,72.0
SCARF1,0.028109265360852027,84.0,72.0
CSAD,0.028109265360852027,72.0,72.0
TMBIM4,0.028109265360852027,72.0,72.0
ACSL5,0.028109265360852027,72.0,72.0
NEIL1,0.028109265360852027,72.0,72.0
RRAD,0.028109265360852027,72.0,72.0
BEX4,0.028109265360852027,72.0,72.0
TSC22D1,0.028109265360852027,72.0,72.0
HIGD1B,0.028109265360852027,72.0,72.0
TEX264,0.028109265360852027,72.0,72.0
ADAMTS15,0.028109265360852027,72.0,72.0
C13orf15,0.028109265360852027,84.0,72.0
ABHD14A,0.028109265360852027,72.0,72.0
NTF4,0.028109265360852027,72.0,72.0
METTL5,0.02821304326317233,72.0,72.0
RFX1,0.02832690846298819,72.0,72.0
GINS4,0.02847563967137292,72.0,84.0
CDKN3,0.02847563967137292,72.0,72.0
KIF4A,0.02847563967137292,72.0,72.0
HJURP,0.02847563967137292,72.0,72.0
SART1,0.02847563967137292,72.0,72.0
CENPA,0.02847563967137292,72.0,72.0
ACTN1,0.02847563967137292,72.0,72.0
C11orf84,0.02847563967137292,72.0,72.0
C19orf10,0.028594237356818205,72.0,84.0
4-Sep,0.028980686535011516,72.0,72.0
CLK4,0.028980686535011516,72.0,72.0
PXN,0.029203135475025208,72.0,72.0
LTC4S,0.029203135475025208,72.0,72.0
PLXNA2,0.029241296642134165,72.0,72.0
FBXO25,0.029241296642134165,72.0,72.0
TTC25,0.029241296642134165,72.0,72.0
C15orf23,0.029424442821455156,72.0,72.0
IMMT,0.029424442821455156,72.0,72.0
BOP1,0.029424442821455156,72.0,72.0
SOSTDC1,0.029499745260288004,72.0,72.0
SYNM,0.029499745260288004,72.0,72.0
EFCAB11,0.029517806242845605,72.0,72.0
SIRPB1,0.02965144246433398,72.0,72.0
PYGO1,0.02999918300872367,72.0,72.0
TBX19,0.030147396419645096,72.0,72.0
TSPAN31,0.030439738882488337,72.0,72.0
C2orf40,0.030439738882488337,72.0,72.0
ALDH1B1,0.0304964392261204,72.0,72.0
GHDC,0.030584294323120282,72.0,72.0
SEPW1,0.030584294323120282,72.0,72.0
RARG,0.030584294323120282,72.0,72.0
GPC6,0.030731030083332448,72.0,72.0
NDUFB6,0.030731030083332448,72.0,78.0
CAD,0.030731030083332448,72.0,72.0
SAC3D1,0.030731030083332448,72.0,72.0
PSAT1,0.030731030083332448,72.0,72.0
HAUS8,0.030731030083332448,72.0,72.0
ST6GAL1,0.030731030083332448,72.0,72.0
TSPAN10,0.030819400612685056,72.0,72.0
HSPA5,0.03086967769291525,72.0,84.0
TDP1,0.03094591983803008,72.0,72.0
HPSE2,0.031129868602267453,72.0,72.0
ACTN2,0.03155413368849358,72.0,72.0
TMOD1,0.03155413368849358,72.0,72.0
PLAC9,0.03155413368849358,72.0,72.0
MAMDC2,0.03155413368849358,72.0,72.0
TNXB,0.03155413368849358,72.0,72.0
CPEB1,0.03155413368849358,72.0,72.0
EHD2,0.03155413368849358,84.0,72.0
TBC1D10A,0.03155413368849358,72.0,72.0
RPS6KC1,0.03163522929625073,72.0,72.0
GCNT1,0.0316790270019287,72.0,72.0
KIAA0101,0.031712318894603055,72.0,72.0
CTTNBP2,0.031834915014189856,72.0,72.0
SLC24A4,0.031834915014189856,72.0,72.0
TRPC6,0.031834915014189856,72.0,72.0
DTX3,0.031834915014189856,72.0,72.0
C2orf81,0.031834915014189856,72.0,72.0
SNX33,0.031834915014189856,72.0,72.0
CPEB2,0.031834915014189856,72.0,72.0
FAM100A,0.03193455504393187,72.0,72.0
UHRF1,0.031997128406426024,72.0,72.0
PEX6,0.031997128406426024,72.0,72.0
DDOST,0.031997128406426024,72.0,72.0
CCNB1,0.031997128406426024,72.0,84.0
SYVN1,0.031997128406426024,72.0,72.0
STMN1,0.031997128406426024,72.0,72.0
GXYLT2,0.031997128406426024,72.0,72.0
KIF15,0.031997128406426024,72.0,78.0
EIF1AD,0.031997128406426024,72.0,72.0
MAD2L1,0.031997128406426024,72.0,72.0
IFRD1,0.03224218418062718,72.0,72.0
TMED10,0.03224218418062718,72.0,72.0
LYSMD4,0.032719665330592916,72.0,72.0
FAM105B,0.03273269244376181,72.0,72.0
KDM6A,0.032806428458409725,72.0,72.0
MYOZ3,0.032806428458409725,72.0,72.0
LOC100129931,0.03293865696801497,72.0,72.0
ADK,0.03295758789132454,72.0,72.0
PFDN1,0.03298152914238991,72.0,72.0
HNF1B,0.03298152914238991,72.0,72.0
C1orf56,0.03298152914238991,72.0,72.0
CUX1,0.033059859199968476,72.0,72.0
ALDH3B1,0.03308643424938926,72.0,72.0
C14orf145,0.03314808203171017,72.0,72.0
EXT1,0.03314808203171017,72.0,72.0
SASS6,0.03314808203171017,72.0,72.0
MAP1LC3A,0.03319614819298899,72.0,72.0
ACP2,0.03329780076232193,72.0,72.0
GRK6,0.03329780076232193,72.0,72.0
VDR,0.03329780076232193,72.0,72.0
RPN1,0.03329780076232193,72.0,78.0
IGF1R,0.03337906607269949,84.0,72.0
